
iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

   0,      4.861e+02,        1.000e+00,        6.025e-01,  1.000e+00,  

   1,      4.269e+02,        1.460e+00,        8.798e-01,  1.221e-04,  
   2,      2.861e+02,        9.404e-01,        5.666e-01,  1.000e+00,  
   3,      2.755e+02,        9.047e-01,        5.451e-01,  1.000e+00,  
   4,      2.002e+02,        7.441e-01,        4.484e-01,  1.000e+00,  
   5,      1.978e+02,        1.082e+00,        6.521e-01,  2.500e-01,  
   6,      1.952e+02,        1.519e+00,        9.151e-01,  9.766e-04,  
   7,      1.811e+02,        6.435e-01,        3.877e-01,  2.441e-04,  
   8,      1.741e+02,        6.634e-01,        3.997e-01,  1.250e-01,  
   9,      1.532e+02,        8.501e-01,        5.122e-01,  5.000e-01,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  10,      1.441e+02,        7.448e-01,        4.488e-01,  1.562e-02,  
  11,      1.323e+02,        1.347e+00,        8.114e-01,  9.766e-04,  
  12,      1.309e+02,        5.436e-01,        3.276e-01,  9.766e-04,  
  13,      1.007e+02,        4.848e-01,        2.921e-01,  1.000e+00,  
  14,      7.533e+01,        4.118e-01,        2.482e-01,  1.000e+00,  
  15,      5.902e+01,        1.559e+00,        9.397e-01,  1.000e+00,  
  16,      5.887e+01,        3.325e-01,        2.004e-01,  4.883e-04,  
  17,      5.428e+01,        3.871e-01,        2.333e-01,  1.000e+00,  
  18,      5.403e+01,        3.144e-01,        1.894e-01,  1.250e-01,  
  19,      5.378e+01,        3.002e-01,        1.809e-01,  7.812e-03,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  20,      5.214e+01,        2.816e-01,        1.696e-01,  1.000e+00,  
  21,      4.471e+01,        1.620e+00,        9.760e-01,  1.000e+00,  
  22,      4.416e+01,        3.200e-01,        1.928e-01,  2.441e-04,  
  23,      4.410e+01,        2.903e-01,        1.749e-01,  9.766e-04,  
  24,      4.268e+01,        3.162e-01,        1.905e-01,  1.000e+00,  
  25,      4.028e+01,        3.944e-01,        2.376e-01,  1.000e+00,  
  26,      3.984e+01,        3.946e-01,        2.378e-01,  1.953e-03,  
  27,      3.972e+01,        2.050e-01,        1.235e-01,  1.953e-03,  
  28,      3.898e+01,        1.928e-01,        1.162e-01,  1.000e+00,  
  29,      3.825e+01,        2.422e-01,        1.459e-01,  1.000e+00,  
