
iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

   0,      5.035e+02,        1.000e+00,        5.972e-01,  1.000e+00,  

   1,      4.034e+02,        1.169e+00,        6.985e-01,  1.221e-04,  
   2,      3.967e+02,        1.399e+00,        8.354e-01,  1.000e+00,  
   3,      3.419e+02,        9.031e-01,        5.394e-01,  1.000e+00,  
   4,      3.258e+02,        1.162e+00,        6.941e-01,  1.000e+00,  
   5,      3.051e+02,        8.255e-01,        4.930e-01,  1.000e+00,  
   6,      2.964e+02,        1.597e+00,        9.538e-01,  1.000e+00,  
   7,      2.801e+02,        9.892e-01,        5.908e-01,  2.441e-04,  
   8,      2.516e+02,        6.867e-01,        4.101e-01,  4.883e-04,  
   9,      2.215e+02,        8.758e-01,        5.231e-01,  1.000e+00,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  10,      2.178e+02,        8.161e-01,        4.874e-01,  1.953e-03,  
  11,      2.122e+02,        6.888e-01,        4.114e-01,  9.766e-04,  
  12,      1.989e+02,        7.422e-01,        4.433e-01,  1.000e+00,  
  13,      1.971e+02,        1.090e+00,        6.509e-01,  5.000e-01,  
  14,      1.900e+02,        7.879e-01,        4.706e-01,  9.766e-04,  
  15,      1.854e+02,        6.120e-01,        3.655e-01,  9.766e-04,  
  16,      1.629e+02,        6.862e-01,        4.098e-01,  1.000e+00,  
  17,      1.579e+02,        6.102e-01,        3.644e-01,  1.953e-03,  
  18,      1.422e+02,        6.465e-01,        3.861e-01,  1.000e+00,  
  19,      1.411e+02,        6.543e-01,        3.908e-01,  1.000e+00,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  20,      1.369e+02,        1.562e+00,        9.330e-01,  3.906e-03,  
  21,      1.276e+02,        4.106e-01,        2.452e-01,  2.441e-04,  
  22,      1.225e+02,        5.720e-01,        3.416e-01,  1.000e+00,  
  23,      1.195e+02,        6.958e-01,        4.156e-01,  1.000e+00,  
  24,      1.149e+02,        3.848e-01,        2.298e-01,  4.883e-04,  
  25,      1.123e+02,        4.489e-01,        2.681e-01,  5.000e-01,  
  26,      1.088e+02,        7.958e-01,        4.753e-01,  5.000e-01,  
  27,      9.057e+01,        5.185e-01,        3.097e-01,  4.883e-04,  
  28,      9.002e+01,        3.468e-01,        2.071e-01,  1.953e-03,  
  29,      8.364e+01,        4.337e-01,        2.591e-01,  1.000e+00,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  30,      7.993e+01,        3.472e-01,        2.074e-01,  2.500e-01,  
  31,      7.752e+01,        5.018e-01,        2.997e-01,  1.000e+00,  
  32,      7.720e+01,        2.876e-01,        1.718e-01,  9.766e-04,  
  33,      7.362e+01,        2.522e-01,        1.506e-01,  1.000e+00,  
  34,      7.321e+01,        1.423e+00,        8.496e-01,  1.221e-04,  
  35,      7.227e+01,        2.608e-01,        1.557e-01,  2.441e-04,  
  36,      7.225e+01,        2.613e-01,        1.561e-01,  7.629e-06,  
  37,      7.219e+01,        2.635e-01,        1.574e-01,  7.629e-06,  
  38,      6.822e+01,        2.953e-01,        1.764e-01,  1.000e+00,  
  39,      6.747e+01,        5.257e-01,        3.139e-01,  1.250e-01,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  40,      6.713e+01,        2.052e-01,        1.225e-01,  4.883e-04,  
  41,      6.712e+01,        1.953e-01,        1.166e-01,  2.500e-01,  
  42,      6.669e+01,        4.006e-01,        2.393e-01,  1.000e+00,  
  43,      6.665e+01,        1.941e-01,        1.159e-01,  1.953e-03,  
  44,      6.626e+01,        2.035e-01,        1.215e-01,  1.000e+00,  
  45,      6.586e+01,        1.925e-01,        1.150e-01,  1.000e+00,  
  46,      6.582e+01,        1.918e-01,        1.145e-01,  1.562e-02,  
  47,      6.577e+01,        2.042e-01,        1.220e-01,  5.000e-01,  
  48,      6.559e+01,        1.627e-01,        9.715e-02,  1.953e-03,  
  49,      6.523e+01,        1.747e-01,        1.043e-01,  1.000e+00,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  50,      6.514e+01,              nan,              nan,  3.906e-03,  
