
iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size
  72,      1.520e-08,        1.983e-06,        1.972e-06,   51.651,  1.000e+00
  73,      1.511e-08,        2.026e-06,        2.015e-06,   50.896,  1.000e+00
  74,      1.495e-08,        2.000e-06,        1.989e-06,   50.856,  2.000e+00
  75,      1.470e-08,        1.349e-05,        1.342e-05,  119.369,  1.250e-01
  76,      1.378e-08,        7.189e-06,        7.151e-06,   52.281,  1.000e+00
  77,      1.309e-08,        7.923e-06,        7.880e-06,   53.116,  1.000e+00
  78,      1.266e-08,        2.799e-06,        2.784e-06,   51.099,  1.000e+00
  79,      1.251e-08,        1.583e-06,        1.575e-06,   70.094,  1.000e+00

iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size

  80,      1.239e-08,        1.814e-06,        1.805e-06,   80.754,  1.000e+00
  81,      1.151e-08,        3.363e-06,        3.345e-06,   61.982,  1.000e+00
  82,      1.088e-08,        4.780e-06,        4.755e-06,   47.399,  1.000e+00
  83,      1.075e-08,        1.044e-05,        1.038e-05,   51.171,  2.500e-01
  84,      1.050e-08,        5.721e-06,        5.690e-06,   49.199,  1.000e+00
  85,      1.033e-08,        3.351e-06,        3.333e-06,   48.368,  1.000e+00
  86,      9.986e-09,        2.432e-06,        2.419e-06,   48.626,  1.000e+00
  87,      8.772e-09,        9.585e-06,        9.534e-06,   51.448,  1.000e+00
  88,      8.531e-09,        4.881e-06,        4.854e-06,   49.094,  1.000e+00
  89,      8.411e-09,        2.606e-06,        2.592e-06,   47.590,  1.000e+00

iter,  cost function,  rel. grad. norm,  abs. grad. norm,    angle,  step size

  90,      8.212e-09,        2.550e-06,        2.536e-06,   48.003,  1.000e+00
  91,      8.209e-09,        3.063e-06,        3.047e-06,   98.480,  1.562e-02
  92,      8.012e-09,        4.404e-06,        4.380e-06,   50.333,  5.000e-01
  93,      7.916e-09,        2.329e-06,        2.317e-06,   48.532,  1.000e+00
  94,      7.829e-09,        1.666e-06,        1.657e-06,   50.600,  1.000e+00
  95,      7.552e-09,        3.511e-06,        3.492e-06,   48.171,  1.000e+00
  96,      7.518e-09,        2.573e-06,        2.559e-06,   47.321,  1.000e+00
  97,      7.380e-09,        2.901e-06,        2.885e-06,   47.979,  1.000e+00
  98,      7.349e-09,        2.203e-06,        2.191e-06,   47.554,  1.000e+00
  99,      7.198e-09,        2.770e-06,        2.755e-06,   47.725,  1.000e+00
