
iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

   0,      4.976e+02,        1.000e+00,        6.032e-01,  1.000e+00,  

   1,      3.758e+02,        1.366e+00,        8.239e-01,  1.221e-04,  
   2,      3.118e+02,        8.795e-01,        5.305e-01,  1.000e+00,  
   3,      2.986e+02,        7.969e-01,        4.807e-01,  1.000e+00,  
   4,      2.545e+02,        9.199e-01,        5.548e-01,  1.000e+00,  
   5,      1.813e+02,        9.405e-01,        5.673e-01,  1.000e+00,  
   6,      1.783e+02,        7.771e-01,        4.687e-01,  3.906e-03,  
   7,      1.756e+02,        7.623e-01,        4.598e-01,  1.000e+00,  
   8,      1.474e+02,        7.487e-01,        4.516e-01,  1.000e+00,  
   9,      1.382e+02,        1.566e+00,        9.445e-01,  1.953e-03,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  10,      1.321e+02,        5.092e-01,        3.072e-01,  2.441e-04,  
  11,      1.319e+02,        4.769e-01,        2.876e-01,  9.766e-04,  
  12,      1.113e+02,        4.773e-01,        2.879e-01,  1.000e+00,  
  13,      8.226e+01,        4.565e-01,        2.754e-01,  1.000e+00,  
  14,      7.570e+01,        5.301e-01,        3.197e-01,  1.000e+00,  
  15,      6.949e+01,        5.020e-01,        3.028e-01,  1.953e-03,  
  16,      6.923e+01,        2.964e-01,        1.788e-01,  3.906e-03,  
  17,      6.691e+01,        3.242e-01,        1.956e-01,  1.000e+00,  
  18,      6.017e+01,        3.185e-01,        1.921e-01,  1.000e+00,  
  19,      5.846e+01,        3.214e-01,        1.939e-01,  1.000e+00,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  20,      5.769e+01,        3.504e-01,        2.113e-01,  1.562e-02,  
  21,      5.683e+01,        2.328e-01,        1.404e-01,  1.953e-03,  
  22,      5.594e+01,        2.765e-01,        1.667e-01,  1.000e+00,  
  23,      5.594e+01,        2.220e-01,        1.339e-01,  7.812e-03,  
  24,      5.581e+01,        2.591e-01,        1.563e-01,  1.000e+00,  
  25,      5.553e+01,        2.424e-01,        1.462e-01,  1.000e+00,  
  26,      5.519e+01,        2.859e-01,        1.724e-01,  7.812e-03,  
  27,      5.503e+01,        1.924e-01,        1.161e-01,  3.906e-03,  
  28,      5.449e+01,        2.666e-01,        1.608e-01,  1.000e+00,  
  29,      5.402e+01,        1.992e-01,        1.201e-01,  1.953e-03,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  30,      5.401e+01,        1.847e-01,        1.114e-01,  7.812e-03,  
  31,      5.349e+01,        1.906e-01,        1.149e-01,  1.000e+00,  
  32,      5.346e+01,        1.824e-01,        1.100e-01,  1.562e-02,  
  33,      5.345e+01,        1.760e-01,        1.062e-01,  7.812e-03,  
  34,      5.318e+01,        2.242e-01,        1.352e-01,  1.000e+00,  
  35,      5.310e+01,        1.597e-01,        9.630e-02,  3.906e-03,  
  36,      5.308e+01,        1.506e-01,        9.086e-02,  3.906e-03,  
  37,      5.293e+01,        1.448e-01,        8.733e-02,  1.000e+00,  
  38,      5.292e+01,        1.520e-01,        9.166e-02,  1.000e+00,  
  39,      5.292e+01,        1.500e-01,        9.050e-02,  1.562e-02,  

iter,  cost function,  rel. grad. norm,  abs. grad. norm,  step size,  

  40,      5.288e+01,        2.108e-01,        1.272e-01,  5.000e-01,  
  41,      5.287e+01,        1.432e-01,        8.636e-02,  3.906e-03,  
  42,      5.284e+01,        1.906e-01,        1.150e-01,  1.000e+00,  
  43,      5.282e+01,        1.382e-01,        8.338e-02,  3.906e-03,  
  44,      5.281e+01,        1.398e-01,        8.433e-02,  3.906e-03,  
  45,      5.269e+01,        1.468e-01,        8.852e-02,  1.000e+00,  
  46,      5.269e+01,        1.467e-01,        8.847e-02,  1.526e-05,  
  47,      5.265e+01,        1.573e-01,        9.488e-02,  1.000e+00,  
